target,gr_code,lddt,tm_score,gdt_ts,inf_all,TM_align,inf_stack,inf_wc,inf_nwc,lddt_no_checks,global_rmsd,clashscore,clashes_number,Z_lddt,Z_tm_score,Z_gdt_ts,Z_inf_all,Z_TM_align,Z_inf_stack,Z_inf_wc,Z_inf_nwc,Z_lddt_no_checks,Z_global_rmsd,Z_clashscore,Z_clashes_number,Z_CASP15,Z_CASP16_t33_g33_l33,Z_CASP16_t30_g30_l40,Z_CASP16_t25_g25_l50,Z_CASP16_t20_g20_l60,Z_topo,Z_rmsd_inf
R1203,GuangzhouRNA-human - 183,0.77,0.539,0.52,0.88,0.57,0.85,0.99,0.88,0.77,12.74,10.42,0.0,0.4185911800737775,-0.2580173258890605,0.48856991820184,0.3385357689534484,-0.25938741082828,0.18954430536170966,0.7027307894524799,0.47080893998841494,0.2862661311220416,-0.5743289993081396,-0.3423001945713142,0.28146513431780396,0.12642608539941988,0.21638125746218564,0.23660224972334482,0.2669337381150836,0.29726522650682236,0.11527629615638973,-0.11789661517734562
R1203,GuangzhouRNA-meta - 417,0.722,0.579,0.52,0.87,0.634,0.84,0.99,0.82,0.771,12.2,11.58,0.0,-0.017606956013957353,0.2738058257019178,0.48856991820184,0.18506622036121778,0.4539279689494887,0.015368457191489554,0.7027307894524799,0.14824779771261504,0.2967205333327284,-0.4194479041557324,-0.45693931485294076,0.28146513431780396,0.2762703159419174,0.24825626262993347,0.22166994076554436,0.18179045796896076,0.14191097517237716,0.38118787195187886,-0.11719084189725731
R1203,GuangzhouRNA_AI - 317,0.714,0.552,0.52,0.88,0.615,0.86,0.99,0.76,0.773,9.91,7.64,0.0,-0.09030664536191316,-0.08517480162199206,0.48856991820184,0.3385357689534484,0.24216246557796364,0.36372015353192977,0.7027307894524799,-0.17431334456318429,0.31762933775410207,0.23736266602762265,-0.06756161320672659,0.28146513431780396,0.21085554276449925,0.10436282373931158,0.08489587682918909,0.05569545646400541,0.026495036098821693,0.20169755828992397,0.28794921749053554
R1203,KiharaLab - 294,0.829,0.586,0.55,0.91,0.617,0.89,0.98,0.89,0.829,8.41,2.78,0.0,0.9547513890149505,0.36687487723033924,0.9395575350035377,0.7989444147301402,0.2644535711960189,0.8862476980425901,0.5145981371581151,0.5245691303677149,0.9030758615525636,0.6675879303398641,0.4127367700421568,0.28146513431780396,0.6826247361168101,0.7537279337496091,0.7738302792761433,0.8039837975659445,0.8341373158557457,0.6532162061169384,0.7332661725350021
R1203,LCBio - 189,0.718,0.557,0.45,0.86,0.619,0.83,0.99,0.77,0.718,9.48,0.69,0.0,-0.05395680068793526,-0.018696907673119597,-0.5637345210021204,0.03159667176898715,0.28674467681407423,-0.15880739097873053,0.7027307894524799,-0.12055315418388429,-0.2573627838336738,0.36069390846379845,0.6192848402047424,0.28146513431780396,-0.17075750354943733,-0.2121294097877251,-0.19631214887774612,-0.17258625751277762,-0.14886036614780915,-0.29121571433762,0.1961452901163928
R1203,MIEnsembles-Server - S 110,0.564,0.467,0.35,0.73,0.477,0.73,0.82,0.43,0.564,20.57,3.01,0.0,-1.4534258206360835,-1.2152989987528233,-2.0670265770077787,-1.963507459930009,-1.295923822067849,-1.9005658726809296,-2.495524299551721,-1.9483996270800823,-1.867340724279445,-2.82010487901804,0.3900065996414895,0.28146513431780396,-1.5404639983095916,-1.578583798798895,-1.566068000982614,-1.5472943042581924,-1.5285206075337705,-1.641162787880301,-2.3918061694740245
R1203,NKRNA-s - S 028,0.701,0.537,0.5,0.89,0.568,0.87,0.95,0.87,0.776,12.67,3.94,0.0,-0.20844364055234135,-0.28460848346860945,0.1879115070007082,0.492005317545679,-0.2816785164463353,0.5378960017021498,-0.04979981972497955,0.417048749609115,0.34899254438616256,-0.5542518203069016,0.2980976497605303,0.28146513431780396,0.09773387806555729,-0.10171353900674754,-0.11238654916130693,-0.128396064393146,-0.14440557962498507,-0.04834848823395063,-0.031123251380611283
R1203,OpenComplex - 167,0.814,0.569,0.52,0.91,0.622,0.89,0.98,0.87,0.814,8.5,0.46,0.0,0.8184394714875334,0.14085003780417285,0.48856991820184,0.7989444147301402,0.3201813352411571,0.8862476980425901,0.5145981371581151,0.417048749609115,0.7462598283922611,0.6417744144811297,0.6420150106054098,0.28146513431780396,0.4564584332760886,0.48261980916451536,0.5162017753968172,0.5665747247452699,0.6169476740937225,0.31470997800300643,0.7203594146056349
R1203,OpenComplex_Server - S 450,0.567,0.171,0.11,0.7,0.173,0.7,0.9,0.31,0.567,22.89,0.23,0.0,-1.4261634371306,-5.150790320526069,-5.674927511421356,-2.423916105706701,-4.684171876012248,-2.42309341719159,-0.9904630811968018,-2.5935219116316817,-1.8359775176473845,-3.48551995448764,0.664745181006077,0.28146513431780396,-4.085663881817896,-4.083960423026008,-3.8181807244364676,-3.4195111765521564,-3.0208416286678452,-5.412858915973713,-2.9547180300971707
R1203,RNAFOLDX - 435,0.815,0.614,0.54,0.91,0.639,0.89,0.99,0.93,0.83,9.5,6.48,0.0,0.8275269326560278,0.739151083344025,0.7892283294029718,0.7989444147301402,0.509655732994627,0.8862476980425901,0.7027307894524799,0.7396098918849149,0.9135302637632504,0.35495757160630204,0.04707750707489984,0.28146513431780396,0.7274422646502477,0.7853021151343416,0.7895245968865102,0.795858319514763,0.802192042143016,0.7641897063734984,0.5769509931682211
