#Model         Gr.Code  ICS(F1)   Prec.Iface  Recal.Iface  IPS        QSglob   QSbest   lDDT       ilDDT      GDT_TS     RMSD       TMscore    TMalign    GlobDockQ    BestDockQ  Mol.Size  Stoich.  MDL.Conts  REF.Conts  MDL.Clash  ICS_Interfaces                           ICS_perInterface

R0252TS167_1o  167      0.000     0.000      0.000       0.081      0.000    0.000    0.275      0.000      0.013      69.394     0.143      0.099      0.003        0.013      4        A4       243        345        284        -                                        [None, None, 0.0, 0.12, None, None, None, None, None, 0.0, 0.0, 0.014] 
R0252TS462_2o  462      0.000     0.000      0.000       0.021      0.000    0.000    0.145      0.000      0.012      58.375     0.113      0.065      0.001        0.001      2        A2       154        345        120        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS450_1o  450s     0.000     0.000      0.000       0.081      0.000    0.000    0.275      0.000      0.013      69.394     0.143      0.099      0.003        0.013      4        A4       243        345        284        -                                        [None, None, 0.0, 0.12, None, None, None, None, None, 0.0, 0.0, 0.014] 
R0252TS208_4o  208s     0.000     0.000      0.000       0.106      0.000    0.000    0.266      0.000      0.014      64.027     0.193      0.079      0.002        0.012      4        A4       455        345        723        -                                        [0.068, None, 0.074, 0.0, None, None, 0.038, None, None, None, 0.077, None] 
R0252TS450_5o  450s     0.000     0.000      0.000       0.014      0.000    0.000    0.141      0.000      0.011      66.086     0.089      0.062      0.002        0.002      2        A2       44         345        222        -                                        [None, None, None, 0.096, None, None, None, None, None, None, None, None] 
R0252TS208_3o  208s     0.000     0.000      0.000       0.081      0.000    0.000    0.280      0.000      0.012      73.146     0.166      0.093      0.003        0.013      4        A4       344        345        343        -                                        [None, 0.009, 0.0, 0.039, None, None, None, 0.039, None, None, 0.01, None] 
R0252TS262_5o  262      0.000     0.000      0.000       0.087      0.000    0.000    0.299      0.004      0.012      70.151     0.159      0.091      0.004        0.022      4        A4       291        345        1          -                                        [0.0, None, None, 0.238, None, 0.205, 0.022, None, None, None, None, 0.015] 
R0252TS294_5o  294      0.000     0.000      0.000       0.013      0.000    0.000    0.152      0.000      0.012      61.808     0.115      0.064      0.002        0.002      2        A2       179        345        119        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS110_4o  110s     0.000     0.000      0.000       0.043      0.000    0.000    0.137      0.000      0.016      67.905     0.104      0.067      0.002        0.002      2        A2       511        345        73         -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS028_1o  028s     0.000     0.000      0.000       0.034      0.000    0.000    0.145      0.000      0.013      72.984     0.099      0.060      0.004        0.004      2        A2       411        345        102        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS167_4o  167      0.000     0.000      0.000       0.044      0.000    0.000    0.208      0.000      0.013      61.885     0.152      0.100      0.004        0.012      3        A3       122        345        365        -                                        [None, None, 0.0, 0.0, None, None, None, None, None, None, 0.045, None] 
R0252TS262_3o  262      0.000     0.000      0.000       0.087      0.000    0.000    0.299      0.004      0.012      70.151     0.159      0.091      0.004        0.022      4        A4       291        345        1          -                                        [0.0, None, None, 0.238, None, 0.205, 0.022, None, None, None, None, 0.015] 
