interface_type,model,target,ics_naive_mean,ics_mean,ics_log10_mean,ips_naive_mean,ips_mean,ips_log10_mean,ilddt_naive_mean,ilddt_mean,ilddt_log10_mean
protein-protein,M0268TS241_4,M0268,0.0,0.0,0.0,0.005999999999999999,0.00588785046728972,0.006089875786581345,0.09818401073438314,0.1195,0.10637563535404022
NA-containing,M0268TS241_4,M0268,0.131,0.17136627906976745,0.14696519241757447,0.1712,0.1829418604651163,0.17531955445739444,0.3555810645955172,0.37851162790697684,0.3645364039526179
all,M0268TS241_5,M0268,0.07490909090909091,0.0960621761658031,0.08330694481093585,0.11009090909090907,0.11982642487046632,0.11366647132353903,0.24995427219706431,0.26651813471502594,0.2562019429528721
NA-NA,M0268TS241_5,M0268,,,,,,,,,
NA-protein,M0268TS241_5,M0268,0.1648,0.2155813953488372,0.18488445580470436,0.2284,0.2501627906976744,0.23668404262658882,0.39781154504103194,0.41376162790697674,0.4042350063961209
protein-protein,M0268TS241_5,M0268,0.0,0.0,0.0,0.011500000000000002,0.015070093457943924,0.012775851706493754,0.12673987816042456,0.1481728971962617,0.13479532326106808
NA-containing,M0268TS241_5,M0268,0.1648,0.2155813953488372,0.18488445580470436,0.2284,0.2501627906976744,0.23668404262658882,0.39781154504103194,0.41376162790697674,0.4042350063961209
all,M0268TS262_1,M0268,0.0020909090909090908,0.0029222797927461143,0.0023877261722143454,0.03081818181818182,0.037474093264248706,0.033128710176372006,0.08326923313330417,0.08899481865284975,0.08538290906996097
NA-NA,M0268TS262_1,M0268,,,,,,,,,
NA-protein,M0268TS262_1,M0268,0.002,0.0030813953488372093,0.0023616623401894444,0.046799999999999994,0.0541046511627907,0.049317693614848515,0.10213457193598371,0.10573837209302327,0.10345593548505849
protein-protein,M0268TS262_1,M0268,0.0021666666666666666,0.002794392523364486,0.0024091019491438784,0.0175,0.024107476635514023,0.019851610386665077,0.06754811746440455,0.07553738317757008,0.07056064576188012
NA-containing,M0268TS262_1,M0268,0.002,0.0030813953488372093,0.0023616623401894444,0.046799999999999994,0.0541046511627907,0.049317693614848515,0.10213457193598371,0.10573837209302327,0.10345593548505849
all,M0268TS262_2,M0268,0.08127272727272727,0.10422279792746116,0.09038399109341828,0.086,0.11030569948186529,0.09541306450187727,0.25062876238474546,0.27065544041450773,0.25824806465789885
NA-NA,M0268TS262_2,M0268,,,,,,,,,
NA-protein,M0268TS262_2,M0268,0.17880000000000001,0.23389534883720933,0.20059065957452152,0.18159999999999998,0.23583720930232557,0.20277744698631084,0.3985926208979097,0.4211046511627907,0.40757876293546863
